,Position_Title,Department,Employee_Annual_Salary
17274,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17275,FIREFIGHTER,FIRE,80724.0
17276,POLICE OFFICER,POLICE,80724.0
17277,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17278,POLICE OFFICER,POLICE,86130.0
17279,FIREFIGHTER-EMT,FIRE,79140.0
17280,POLICE OFFICER,POLICE,78012.0
17281,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
17282,CUSTODIAL WORKER,GENERAL SERVICES,34008.0
17283,POLICE OFFICER,POLICE,83706.0
17284,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17285,SERGEANT,POLICE,99444.0
17286,FIREFIGHTER,FIRE,78012.0
17287,POLICE OFFICER,POLICE,78012.0
17288,FIREFIGHTER,FIRE,80724.0
17289,POLICE OFFICER,POLICE,75372.0
17290,POLICE OFFICER,POLICE,83706.0
17291,FIREFIGHTER,FIRE,50490.0
17292,DEPUTY COMMISSIONER,CULTURAL AFFAIRS,102708.0
17293,PARAMEDIC,FIRE,75372.0
17294,MOTOR TRUCK DRIVER,STREETS & SAN,71468.8
17295,POLICE OFFICER(ASGND AS LATENT PRINT EX),POLICE,87918.0
17296,LIEUTENANT,POLICE,122718.0
17297,POLICE OFFICER,POLICE,65016.0
17298,LIEUTENANT-EMT,FIRE,98394.0
17299,POLICE OFFICER,POLICE,78012.0
17300,DETENTION AIDE,POLICE,73032.0
17301,DETENTION AIDE,POLICE,46656.0
17302,POLICE COMMUNICATIONS OPERATOR II,OEMC,76452.0
17303,CROSSING GUARD,POLICE,17316.0
17304,ASBESTOS WORKER,GENERAL SERVICES,97656.0
17305,LIEUTENANT,POLICE,122718.0
17306,PARAMEDIC,FIRE,75372.0
17307,PLUMBER,WATER MGMNT,95784.0
17308,ASST CORPORATION COUNSEL,LAW,93840.0
17309,DEPUTY COMMISSIONER,TRANSPORTN,129336.0
17310,ASST DIR OF NEWS AFFAIRS,POLICE,75456.0
17311,POLICE OFFICER,POLICE,78012.0
17312,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
17313,PUBLIC HEALTH NURSE II,HEALTH,96300.0
17314,CIVIL ENGINEER III,BUILDINGS,91224.0
17315,BATTALION CHIEF-PARAMEDIC,FIRE,135888.0
17316,LIEUTENANT-EMT,FIRE,104742.0
17317,POLICE OFFICER,POLICE,80724.0
17318,POLICE OFFICER,POLICE,80724.0
17319,FIREFIGHTER,FIRE,50490.0
17320,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17321,FRM OF MACHINISTS - AUTOMOTIVE,GENERAL SERVICES,96553.6
17322,POLICE OFFICER,POLICE,65016.0
17323,POLICE OFFICER,POLICE,86130.0
17324,POLICE OFFICER,POLICE,71748.0
17325,PAINTER,AVIATION,84760.0
17326,BRICKLAYER,WATER MGMNT,86486.4
17327,PROCUREMENT SPECIALIST,PROCUREMENT,57084.0
17328,SERGEANT,POLICE,102564.0
17329,CROSSING GUARD,POLICE,17316.0
17330,PUBLIC HEALTH NUTRITIONIST I,HEALTH,57060.0
17331,POLICE OFFICER,POLICE,65016.0
17332,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
17333,POLICE OFFICER,POLICE,83706.0
17334,POLICE OFFICER,POLICE,80724.0
17335,SUPVSR OF LOT CLEANING SERVICES,STREETS & SAN,120708.0
17336,POLICE OFFICER,POLICE,43104.0
17337,LIEUTENANT,POLICE,122718.0
17338,CAPTAIN-EMT,FIRE,121428.0
17339,FIREFIGHTER-EMT,FIRE,79140.0
17340,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
17341,TIMEKEEPER - CPD,POLICE,63456.0
17342,POLICE OFFICER,POLICE,86130.0
17343,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
17344,FIREFIGHTER-EMT,FIRE,79140.0
17345,ELECTRICAL MECHANIC,GENERAL SERVICES,89440.0
17346,POLICE OFFICER,POLICE,75372.0
17347,CLERK CITY COUNCIL,CITY COUNCIL,23664.0
17348,POLICE OFFICER,POLICE,83706.0
17349,LIBRARIAN III,PUBLIC LIBRARY,72156.0
17350,POLICE OFFICER,POLICE,80724.0
17351,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
17352,OPERATING ENGINEER-GROUP C,AVIATION,91457.6
17353,POLICE OFFICER,POLICE,80724.0
17354,BATTALION CHIEF - EMT,FIRE,132720.0
17355,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
17356,POLICE OFFICER,POLICE,86130.0
17357,POLICE OFFICER,POLICE,78012.0
17358,ASST TO THE ALDERMAN,CITY COUNCIL,74328.0
17359,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,81900.0
17360,SERGEANT,POLICE,105864.0
17361,CROSSING GUARD,POLICE,19000.8
17362,POLICE OFFICER,POLICE,78012.0
17363,POLICE OFFICER,POLICE,75372.0
17364,FIREFIGHTER,FIRE,78012.0
17365,PARAMEDIC I/C,FIRE,87372.0
17366,CIVIL ENGINEER IV,WATER MGMNT,99648.0
17367,ADMINISTRATIVE ASST II,LAW,48048.0
17368,POLICE OFFICER,POLICE,65016.0
17369,PERFORMANCE ANALYST,INSPECTOR GEN,59436.0
17370,MOTOR TRUCK DRIVER,AVIATION,70408.0
17371,STAFF ASSISTANT - EXCLUDED,PROCUREMENT,63276.0
17372,FIREFIGHTER,FIRE,87324.0
17373,SANITARIAN II,HEALTH,72936.0
17374,MANAGING DEPUTY COMMISSIONER,AVIATION,137052.0
17375,POLICE OFFICER,POLICE,78012.0
17376,POLICE OFFICER (ASGND AS MOUNTED PATROL OFFICER),POLICE,81900.0
17377,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
17378,SERGEANT,POLICE,99444.0
17379,POLICE OFFICER,POLICE,75372.0
17380,CROSSING GUARD,POLICE,21912.8
17381,LAW CLERK,LAW,25152.4
17382,SERGEANT,POLICE,99444.0
17383,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,60600.0
17384,POLICE OFFICER,POLICE,83706.0
17385,POLICE OFFICER,POLICE,78012.0
17386,CROSSING GUARD,POLICE,17316.0
17387,POLICE OFFICER,POLICE,78012.0
17388,CONCRETE LABORER,TRANSPORTN,76960.0
17389,POLICE OFFICER,POLICE,78012.0
17390,FIRE ENGINEER-EMT,FIRE,97836.0
17391,POLICE OFFICER,POLICE,78012.0
17392,POLICE OFFICER,POLICE,75372.0
17393,FIREFIGHTER-EMT,FIRE,79140.0
17394,LIEUTENANT,FIRE,96648.0
17395,PROJECT MANAGER - DOIT,DoIT,91632.0
17396,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
17397,FIREFIGHTER,FIRE,50490.0
17398,POLICE OFFICER,POLICE,78012.0
17399,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
17400,EXEC ADMINISTRATIVE ASST II,HEALTH,53004.0
17401,POLICE OFFICER,POLICE,65016.0
17402,FIREFIGHTER,FIRE,87324.0
17403,WEB AUTHOR,DoIT,88812.0
17404,SANITATION LABORER,STREETS & SAN,70969.6
17405,ASST DIVISION SUPERINTENDENT,STREETS & SAN,66564.0
17406,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
17407,REFUSE COLLECTION COORD,STREETS & SAN,79512.0
17408,PARKING ENFORCEMENT AIDE,FINANCE,43800.0
17409,ADMINISTRATIVE SERVICES OFFICER I,TRANSPORTN,75240.0
17410,ASST COMMISSIONER,AVIATION,82524.0
17411,ASST CHIEF OPERATING ENGINEER,GENERAL SERVICES,105892.8
17412,MOTOR TRUCK DRIVER,GENERAL SERVICES,70408.0
17413,POLICE OFFICER,POLICE,75372.0
17414,SERGEANT,POLICE,105864.0
17415,SERGEANT,POLICE,105864.0
17416,LIEUTENANT,POLICE,119076.0
17417,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
17418,POLICE OFFICER,POLICE,78012.0
17419,ELECTRICAL MECHANIC,WATER MGMNT,89440.0
17420,POLICE OFFICER,POLICE,61530.0
17421,OPERATING ENGINEER-GROUP C,WATER MGMNT,91457.6
17422,ENVIRONMENTAL ENGINEER III,HEALTH,99648.0
17423,FIREFIGHTER-EMT,FIRE,79140.0
17424,POLICE OFFICER,POLICE,86130.0
17425,POLICE OFFICER,POLICE,75372.0
17426,POLICE OFFICER,POLICE,80724.0
17427,LIEUTENANT-EMT,FIRE,108132.0
17428,DEPUTY INSPECTOR GENERAL,INSPECTOR GEN,126624.0
17429,PUBLIC HEALTH NURSE III,HEALTH,101796.0
17430,POLICE OFFICER,POLICE,78012.0
17431,STAFF ASST,CITY CLERK,61620.0
17432,POLICE OFFICER,POLICE,75372.0
17433,FIREFIGHTER-EMT,FIRE,79140.0
17434,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
17435,POLICE OFFICER,POLICE,80724.0
17436,DISTRICT ASPHALT SUPVSR,TRANSPORTN,79435.2
17437,MACHINIST,AVIATION,91353.6
17438,FIRE ENGINEER-EMT,FIRE,91740.0
17439,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
17440,POOL MOTOR TRUCK DRIVER,AVIATION,70408.0
17441,FOREMAN OF SEWER BRICKLAYERS,WATER MGMNT,95139.2
17442,FIRE ENGINEER-EMT,FIRE,97836.0
17443,CUSTODIAL WORKER,WATER MGMNT,41537.6
17444,POLICE OFFICER,POLICE,43104.0
17445,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,90540.0
17446,POLICE OFFICER,POLICE,78012.0
17447,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17448,CLERK IV,FAMILY & SUPPORT,50280.0
17449,FIRE MARSHAL-EMT,FIRE,84762.0
17450,FIRE COMMUNICATIONS OPERATOR I,OEMC,64384.08
17451,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17452,FIREFIGHTER-EMT,FIRE,79140.0
17453,POLICE OFFICER,POLICE,68382.0
17454,SERGEANT,POLICE,102564.0
17455,MANAGER OF REVENUE COLLECTIONS,BUSINESS AFFAIRS,83940.0
17456,POLICE OFFICER,POLICE,78012.0
17457,POLICE OFFICER,POLICE,78012.0
17458,LIEUTENANT,POLICE,122718.0
17459,COMMUNICATIONS OPERATOR II - 311,OEMC,55212.0
17460,SERGEANT,POLICE,99444.0
17461,POLICE OFFICER,POLICE,78012.0
17462,ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,GENERAL SERVICES,89440.0
17463,POLICE OFFICER,POLICE,78012.0
17464,SANITATION LABORER,STREETS & SAN,70969.6
17465,ACCOUNTING TECHNICIAN I,FINANCE,55212.0
17466,POLICE OFFICER,POLICE,71748.0
17467,PROGRAMMER/ANALYST,FAMILY & SUPPORT,87372.0
17468,POLICE OFFICER,POLICE,80724.0
17469,POLICE OFFICER,POLICE,75372.0
17470,FIREFIGHTER-EMT,FIRE,81906.0
17471,PARAMEDIC I/C,FIRE,87372.0
17472,POLICE OFFICER,POLICE,68382.0
17473,POLICE OFFICER,POLICE,78012.0
17474,LINEMAN,TRANSPORTN,93288.0
17475,POLICE OFFICER,POLICE,75372.0
17476,POLICE OFFICER,POLICE,75372.0
17477,PARAMEDIC I/C,FIRE,84396.0
17478,FINANCIAL PLANNING ANALYST,COMMUNITY DEVELOPMENT,78000.0
17479,POLICE OFFICER,POLICE,78012.0
17480,POLICE OFFICER,POLICE,80724.0
17481,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
17482,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,89440.0
17483,HOISTING ENGINEER,WATER MGMNT,95888.0
17484,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17485,ASST TO THE EXEC DIR,POLICE,77280.0
17486,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
17487,WARD SUPERINTENDENT,STREETS & SAN,93024.0
17488,POLICE OFFICER,POLICE,80724.0
17489,SERGEANT,POLICE,105864.0
17490,POLICE OFFICER,POLICE,80724.0
17491,POLICE OFFICER,POLICE,78012.0
17492,MICROBIOLOGIST III,WATER MGMNT,79212.0
17493,LIEUTENANT-PARAMEDIC,FIRE,103890.0
17494,LIEUTENANT-EMT,FIRE,101484.0
17495,SERGEANT,POLICE,102564.0
17496,CAPTAIN-EMT,FIRE,121428.0
17497,POLICE OFFICER,POLICE,83706.0
17498,POLICE OFFICER,POLICE,78012.0
17499,POLICE OFFICER,POLICE,80724.0
17500,MOTOR TRUCK DRIVER,STREETS & SAN,71635.2
17501,OPERATING ENGINEER-GROUP A,WATER MGMNT,96262.4
17502,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17503,CUSTODIAL WORKER,AVIATION,30056.0
17504,MACHINIST (AUTO) POLICE MOTOR MAINT,GENERAL SERVICES,91353.6
17505,POLICE OFFICER,POLICE,80724.0
17506,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17507,POLICE OFFICER,POLICE,78012.0
17508,POLICE OFFICER,POLICE,80724.0
17509,LIEUTENANT,FIRE,102978.0
17510,POLICE OFFICER,POLICE,80724.0
17511,COORDINATING PLANNER,COMMUNITY DEVELOPMENT,91152.0
17512,MOTOR TRUCK DRIVER,AVIATION,70408.0
17513,CAPTAIN,FIRE,115644.0
17514,PARAMEDIC,FIRE,83982.0
17515,POLICE OFFICER,POLICE,78012.0
17516,POLICE COMMUNICATIONS OPERATOR II,OEMC,73032.0
17517,POLICE OFFICER,POLICE,83706.0
17518,POLICE OFFICER,POLICE,65016.0
17519,PARAMEDIC,FIRE,87324.0
17520,POLICE OFFICER,POLICE,86130.0
17521,SOCIAL WORKER III,HEALTH,83640.0
17522,SENIOR CLERK-ELECTIONS,BOARD OF ELECTION,51732.0
17523,AIRPORT MAINTENANCE FOREMAN,AVIATION,67329.6
17524,DOMESTIC VIOLENCE ADVOCATE,FAMILY & SUPPORT,57828.0
17525,CONCRETE LABORER,TRANSPORTN,76960.0
17526,POLICE OFFICER,POLICE,43104.0
17527,POLICE OFFICER,POLICE,83706.0
17528,SANITATION LABORER,STREETS & SAN,70969.6
17529,POLICE OFFICER,POLICE,80724.0
17530,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,84396.0
17531,PARAMEDIC,FIRE,65016.0
17532,MACHINIST,WATER MGMNT,91353.6
17533,PARAMEDIC I/C,FIRE,81672.0
17534,FRM OF MACHINISTS - AUTOMOTIVE,GENERAL SERVICES,96553.6
17535,POLICE OFFICER,POLICE,86130.0
17536,STAFF ASST,FINANCE,68580.0
17537,POLICE OFFICER,POLICE,83706.0
17538,LIBRARY CLERK,PUBLIC LIBRARY,39912.0
17539,DEPUTY COMMISSIONER,HUMAN RESOURCES,113208.0
17540,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17541,PUBLIC HEALTH AIDE,HEALTH,45828.0
17542,EXEC ADMINISTRATIVE ASST II,HUMAN RESOURCES,45240.0
17543,SANITATION LABORER,STREETS & SAN,70969.6
17544,FIREFIGHTER,FIRE,80724.0
17545,POLICE OFFICER,POLICE,71748.0
17546,INVESTIGATOR II - IG,INSPECTOR GEN,66648.0
17547,ADMINISTRATIVE ASST II,AVIATION,48048.0
17548,RESIDENT SERVICES COORD II,FAMILY & SUPPORT,56472.0
17549,CUSTODIAL WORKER,AVIATION,26936.0
17550,TREE TRIMMER,STREETS & SAN,73008.0
17551,STUDENT INTERN,COMMUNITY DEVELOPMENT,12480.0
17552,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,87372.0
17553,DEPUTY DISTRICT CHIEF,FIRE,148914.0
17554,FIRE ENGINEER-EMT,FIRE,95076.0
17555,MOTOR TRUCK DRIVER,WATER MGMNT,70408.0
17556,HOSPITALITY WORKER,FAMILY & SUPPORT,9516.0
17557,CLERK III,HEALTH,52740.0
17558,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
17559,FIREFIGHTER-EMT,FIRE,79140.0
17560,POLICE OFFICER,POLICE,80724.0
17561,SUPVSR OF INVENTORY CONTROL I,WATER MGMNT,69648.0
17562,CROSSING GUARD,POLICE,16525.6
17563,SANITATION LABORER,STREETS & SAN,63876.8
17564,POLICE OFFICER,POLICE,80724.0
17565,WARRANT AND EXTRADITION AIDE,POLICE,66492.0
17566,POLICE COMMUNICATIONS OPERATOR I,OEMC,66552.0
17567,FIREFIGHTER,FIRE,83982.0
17568,ASST CHIEF OPERATING ENGINEER,WATER MGMNT,105892.8
17569,PURCHASING MANAGER,PUBLIC LIBRARY,102060.0
17570,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
17571,POLICE OFFICER,POLICE,71748.0
17572,POLICE OFFICER,POLICE,83706.0
17573,ASST CORPORATION COUNSEL SUPVSR,LAW,109728.0
17574,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
17575,LEGISLATIVE AIDE,CITY COUNCIL,60000.0
17576,FIREFIGHTER/PARAMEDIC,FIRE,81018.0
17577,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17578,STAFF ASST TO THE ALDERMAN,CITY COUNCIL,40368.0
17579,PARAMEDIC I/C,FIRE,90540.0
17580,FIREFIGHTER-EMT,FIRE,79140.0
17581,PARALEGAL II,LAW,69648.0
17582,POLICE COMMUNICATIONS OPERATOR II,OEMC,73032.0
17583,POLICE OFFICER,POLICE,80724.0
17584,LIEUTENANT-EMT (ASSIGNED AS TRAINING INSTRUCTOR),FIRE,121428.0
17585,CHIEF ASST CORPORATION COUNSEL,LAW,124572.0
17586,POLICE OFFICER,POLICE,83706.0
17587,PARAMEDIC I/C,FIRE,90540.0
17588,SENIOR DATA ENTRY OPERATOR,POLICE,57828.0
17589,SANITATION LABORER,STREETS & SAN,70969.6
17590,CAPTAIN-EMT,FIRE,121428.0
17591,POLICE OFFICER,POLICE,80724.0
17592,LABORATORY TECHNICIAN III,POLICE,60600.0
17593,POLICE OFFICER,POLICE,75372.0
17594,SERGEANT,POLICE,102564.0
17595,GENERAL LABORER - DSS,STREETS & SAN,40560.0
17596,SERGEANT,POLICE,99444.0
17597,FIREFIGHTER-EMT,FIRE,79140.0
17598,POLICE OFFICER,POLICE,43104.0
17599,FIREFIGHTER,FIRE,50490.0
17600,CROSSING GUARD,POLICE,17316.0
17601,POLICE OFFICER,POLICE,83706.0
17602,POLICE OFFICER,POLICE,43104.0
17603,TIMEKEEPER - CPD,POLICE,69648.0
17604,POLICE OFFICER,POLICE,75372.0
17605,FIREFIGHTER,FIRE,80724.0
17606,TRAFFIC CONTROL AIDE-HOURLY,OEMC,19458.4
17607,PARKING ENFORCEMENT AIDE,FINANCE,52764.0
17608,FIREFIGHTER-EMT,FIRE,91680.0
17609,FIREFIGHTER,FIRE,87324.0
17610,AVIATION SECURITY OFFICER,AVIATION,80136.0
17611,STREET LIGHT REPAIR WORKER,TRANSPORTN,93288.0
17612,SUPERVISING PROGRAM AUDITOR,COMMUNITY DEVELOPMENT,80916.0
17613,POLICE OFFICER,POLICE,78012.0
17614,POLICE OFFICER,POLICE,65016.0
17615,POLICE OFFICER,POLICE,80724.0
17616,SIGN PAINTER,TRANSPORTN,73403.2
17617,POLICE OFFICER,POLICE,61530.0
17618,POLICE OFFICER,POLICE,80724.0
17619,SERGEANT,POLICE,105864.0
17620,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17621,SANITARIAN II,HEALTH,69648.0
17622,FIREFIGHTER-EMT,FIRE,79140.0
17623,POLICE OFFICER,POLICE,61530.0
17624,POLICE OFFICER,POLICE,80724.0
17625,FIREFIGHTER,FIRE,80724.0
17626,SUPERVISING POLICE COMMUNICATIONS OPERATOR,OEMC,92604.0
17627,POLICE OFFICER,POLICE,75372.0
17628,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17629,POLICE OFFICER,POLICE,75372.0
17630,POLICE OFFICER,POLICE,61530.0
17631,LINEMAN,TRANSPORTN,93288.0
17632,PAINTER,TRANSPORTN,84760.0
17633,HOISTING ENGINEER,WATER MGMNT,95888.0
17634,ELECTRICAL MECHANIC,OEMC,89439.96
17635,AVIATION SECURITY OFFICER,AVIATION,57900.0
17636,POLICE OFFICER,POLICE,61530.0
17637,FIREFIGHTER,FIRE,80724.0
17638,LEGISLATIVE AIDE,CITY COUNCIL,27240.0
17639,POLICE OFFICER,POLICE,78012.0
17640,LICENSING ENFORCEMENT AIDE - CITY CLERK,CITY CLERK,52740.0
17641,FIREFIGHTER-EMT,FIRE,79140.0
17642,SUPVSR OF TAX AND LICENSE COMPLIANCE,BUSINESS AFFAIRS,73752.0
17643,FIREFIGHTER-EMT,FIRE,84762.0
17644,POLICE OFFICER,POLICE,75372.0
17645,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,93192.0
17646,POLICE COMMUNICATIONS OPERATOR II,OEMC,63552.0
17647,FIREFIGHTER,FIRE,80724.0
17648,POLICE OFFICER,POLICE,78012.0
17649,POLICE OFFICER,POLICE,78012.0
17650,POLICE OFFICER,POLICE,61530.0
17651,FIREFIGHTER,FIRE,50490.0
17652,SANITATION LABORER,STREETS & SAN,63876.8
17653,POLICE OFFICER,POLICE,80724.0
17654,POLICE OFFICER,POLICE,80724.0
17655,SANITATION LABORER,STREETS & SAN,70969.6
17656,POLICE COMMUNICATIONS OPERATOR II,OEMC,63552.0
17657,DETENTION AIDE,POLICE,46656.0
17658,FIRE ENGINEER,FIRE,93192.0
17659,POLICE OFFICER,POLICE,78012.0
17660,POLICE OFFICER,POLICE,75372.0
17661,POLICE OFFICER,POLICE,78012.0
17662,POLICE OFFICER,POLICE,61530.0
17663,SERGEANT,POLICE,102564.0
17664,POLICE OFFICER / FLD TRNG OFFICER,POLICE,84756.0
17665,POLICE OFFICER,POLICE,80724.0
17666,CROSSING GUARD,POLICE,19000.8
17667,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17668,ASST COMMISSIONER,IPRA,93912.0
17669,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17670,HELP DESK TECHNICIAN,DoIT,60600.0
17671,CROSSING GUARD,POLICE,17316.0
17672,COMMUNICATIONS OPERATOR I - 311,OEMC,63456.0
17673,POLICE OFFICER,POLICE,78012.0
17674,ALDERMANIC AIDE,CITY COUNCIL,11196.0
17675,ASST CORPORATION COUNSEL,LAW,60324.0
17676,AVIATION SECURITY OFFICER,AVIATION,66552.0
17677,CLERK III,POLICE,41784.0
17678,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,87228.0
17679,POLICE OFFICER,POLICE,80724.0
17680,POLICE OFFICER,POLICE,80724.0
17681,SANITATION LABORER,STREETS & SAN,70969.6
17682,PARAMEDIC I/C,FIRE,84396.0
17683,FIREFIGHTER,FIRE,50490.0
17684,POLICE OFFICER,POLICE,78012.0
17685,POLICE OFFICER,POLICE,75372.0
17686,DETENTION AIDE,POLICE,63552.0
17687,SERGEANT,POLICE,102564.0
17688,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17689,POLICE OFFICER,POLICE,78012.0
17690,LIBRARY PAGE,PUBLIC LIBRARY,11044.8
17691,SUPERVISING WATCHMAN - AGREEMENT,GENERAL SERVICES,78832.0
17692,FIREFIGHTER,FIRE,80724.0
17693,POLICE OFFICER,POLICE,78012.0
17694,POLICE OFFICER,POLICE,78012.0
17695,GARAGE ATTENDANT,GENERAL SERVICES,45676.8
17696,POLICE OFFICER,POLICE,78012.0
17697,POLICE OFFICER,POLICE,75372.0
17698,FIREFIGHTER/PARAMEDIC,FIRE,83856.0
17699,LIBRARY ASSOCIATE,PUBLIC LIBRARY,62916.0
17700,ADMINISTRATIVE ASST II,BUILDINGS,52740.0
17701,PROJECTS ADMINISTRATOR,BUILDINGS,90252.0
17702,CONSTRUCTION LABORER,WATER MGMNT,76960.0
17703,POLICE OFFICER (ASSIGNED AS CANINE HANDLER),POLICE,90540.0
17704,LIEUTENANT-EMT,FIRE,108132.0
17705,PROJECT MANAGER - BUILDINGS,BUILDINGS,99648.0
17706,DETENTION AIDE,POLICE,57900.0
17707,SANITATION CLERK,STREETS & SAN,57444.0
17708,POLICE OFFICER,POLICE,43104.0
17709,POLICE OFFICER/EXPLSV DETECT K9 HNDLR,POLICE,90540.0
17710,DISTRICT MANAGER - HUMAN SERVICES,FAMILY & SUPPORT,76512.0
17711,CLERK IV,POLICE,57828.0
17712,AIRPORT OPERATIONS SUPVSR II,AVIATION,105024.0
17713,POLICE OFFICER,POLICE,83706.0
17714,POLICE OFFICER,POLICE,78012.0
17715,PARAMEDIC I/C,FIRE,84396.0
17716,CHIEF LABOR NEGOTIATOR,LAW,144036.0
17717,CONSTRUCTION LABORER,GENERAL SERVICES,76960.0
17718,POLICE OFFICER,POLICE,86130.0
17719,SENIOR COMPANION,FAMILY & SUPPORT,2756.0
17720,FIREFIGHTER-EMT,FIRE,84762.0
17721,POLICE OFFICER,POLICE,78012.0
17722,ASST CORPORATION COUNSEL,LAW,60324.0
17723,SANITATION LABORER,STREETS & SAN,70969.6
17724,POLICE OFFICER,POLICE,83706.0
17725,FIREFIGHTER,FIRE,75372.0
17726,LIEUTENANT,FIRE,96648.0
17727,CONSTRUCTION LABORER (SUB-FOREMAN),WATER MGMNT,78624.0
17728,GENERAL LABORER - DSS,STREETS & SAN,40560.0
17729,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17730,POLICE COMMUNICATIONS OPERATOR II,OEMC,87912.0
17731,SENIOR PERSONNEL ASSISTANT,HEALTH,76428.0
17732,POLICE OFFICER,POLICE,43104.0
17733,PROJECTS ADMINISTRATOR,TRANSPORTN,92064.0
17734,FIREFIGHTER-EMT,FIRE,81906.0
17735,FOREMAN OF MOTOR TRUCK DRIVERS,AVIATION,74276.8
17736,MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17737,FOSTER GRANDPARENT,FAMILY & SUPPORT,2756.0
17738,FIRE ENGINEER,FIRE,87372.0
17739,FIREFIGHTER-EMT,FIRE,81906.0
17740,CLERK - BD OF ELECTIONS,BOARD OF ELECTION,27912.0
17741,AVIATION SECURITY OFFICER,AVIATION,63552.0
17742,PROGRAM COORD - SPECIAL EVENTS,CULTURAL AFFAIRS,63516.0
17743,POLICE OFFICER,POLICE,86130.0
17744,CONCRETE LABORER,TRANSPORTN,76960.0
17745,POLICE AGENT,POLICE,87918.0
17746,SENIOR LIBRARY CLERK - HOURLY,PUBLIC LIBRARY,16692.0
17747,ASST CORPORATION COUNSEL,LAW,57192.0
17748,POOL MOTOR TRUCK DRIVER,TRANSPORTN,70408.0
17749,SERGEANT,POLICE,102564.0
17750,CUSTODIAL WORKER,AVIATION,34008.0
17751,POLICE OFFICER,POLICE,86130.0
17752,SERGEANT,POLICE,109278.0
17753,PUBLIC HEALTH AIDE,HEALTH,45828.0
17754,SANITARIAN II,HEALTH,69648.0
17755,POLICE OFFICER,POLICE,83706.0
17756,POLICE OFFICER,POLICE,75372.0
17757,POLICE OFFICER,POLICE,68382.0
17758,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,90540.0
17759,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,8580.0
17760,PROPERTY CUSTODIAN - AUTO POUND,STREETS & SAN,55212.0
17761,CAPTAIN-EMT,FIRE,121428.0
17762,POLICE OFFICER,POLICE,83706.0
17763,DETENTION AIDE,POLICE,57900.0
17764,POLICE OFFICER,POLICE,83706.0
17765,SERGEANT,POLICE,105864.0
17766,PLUMBER,WATER MGMNT,95784.0
17767,POLICE OFFICER,POLICE,78012.0
17768,POOL MOTOR TRUCK DRIVER,STREETS & SAN,70408.0
17769,POLICE OFFICER,POLICE,83706.0
17770,SERGEANT,POLICE,105864.0
